# ArrayList, HashMap, LinkedList, Vector
1, 14199, 14400, 91700, 5100
2, 6800, 7401, 6100, 2199
3, 6600, 4300, 5600, 6601
4, 4800, 4901, 6700, 2499
5, 8001, 4200, 6700, 2000
6, 6899, 5801, 6100, 2800
7, 7400, 8901, 6199, 2900
8, 7300, 5000, 5801, 3800
9, 5701, 6399, 5900, 1800
10, 7000, 4000, 5399, 1400
20, 25499, 22599, 6900, 53600
30, 10500, 8700, 8401, 49500
40, 15400, 10200, 14200, 22499
50, 13900, 21099, 10400, 42400
60, 25199, 13400, 10301, 33300
70, 25000, 14601, 26499, 10301
100, 30500, 14000, 26499, 10000
1000, 40500, 60300, 29200, 43200
100000, 2291200, 2824301, 1771300, 2491100
1000000, 5317099, 20746901, 6371700, 33221599
100000000, 1152826901, 1923177400, 6934108299, 1734311000
